id,name
65731,Sam Worthington
8691,Zoe Saldana
10205,Sigourney Weaver
32747,Stephen Lang
17647,Michelle Rodriguez
1771,Giovanni Ribisi
59231,Joel David Moore
30485,Cch Pounder
15853,Wes Studi
10964,Laz Alonso
85,Johnny Depp
114,Orlando Bloom
116,Keira Knightley
1640,Stellan Skarsgård
1619,Chow Yun-Fat
2440,Bill Nighy
118,Geoffrey Rush
1709,Jack Davenport
2449,Kevin Mcnally
2441,Tom Hollander
8784,Daniel Craig
27319,Christoph Waltz
121529,Léa Seydoux
5469,Ralph Fiennes
28782,Monica Bellucci
17064,Ben Whishaw
2038,Naomie Harris
543530,Dave Bautista
125660,Andrew Scott
139549,Rory Kinnear
3894,Christian Bale
3895,Michael Caine
64,Gary Oldman
1813,Anne Hathaway
2524,Tom Hardy
8293,Marion Cotillard
24045,Joseph Gordon-Levitt
192,Morgan Freeman
2037,Cillian Murphy
36594,Juno Temple
60900,Taylor Kitsch
21044,Lynn Collins
2206,Samantha Morton
5293,Willem Dafoe
19159,Thomas Haden Church
2983,Mark Strong
8785,Ciarán Hinds
17287,Dominic West
17648,James Purefoy
17419,Bryan Cranston
2219,Tobey Maguire
205,Kirsten Dunst
17051,James Franco
17052,Topher Grace
18997,Bryce Dallas Howard
18998,Rosemary Harris
2505,James Cromwell
18999,J.K. Simmons
9207,Theresa Russell
69899,Zachary Levi
16855,Mandy Moore
2517,Donna Murphy
2372,Ron Perlman
22132,M.C. Gainey
4175,Jeffrey Tambor
18,Brad Garrett
1219029,Paul F. Tompkins
10460,Richard Kiel
1273208,Delaney Rose Stein
3223,Robert Downey Jr.
74568,Chris Hemsworth
103,Mark Ruffalo
16828,Chris Evans
1245,Scarlett Johansson
17604,Jeremy Renner
13548,James Spader
2231,Samuel L. Jackson
1896,Don Cheadle
27428,Aaron Taylor-Johnson
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
10993,Tom Felton
5658,Michael Gambon
388,Jim Broadbent
1283,Helena Bonham Carter
1923,Robbie Coltrane
10978,Maggie Smith
4566,Alan Rickman
880,Ben Affleck
73968,Henry Cavill
90633,Gal Gadot
9273,Amy Adams
44735,Jesse Eisenberg
2882,Diane Lane
16940,Jeremy Irons
2975,Laurence Fishburne
18686,Holly Hunter
59233,Scoot Mcnairy
18182,Olga Kurylenko
8789,Mathieu Amalric
5309,Judi Dench
3753,Giancarlo Giannini
59620,Gemma Arterton
2954,Jeffrey Wright
35029,David Harbour
2244,Jesper Christensen
62892,Anatole Taubman
378,Jonathan Pryce
1710,Lee Arenberg
1711,Mackenzie Crook
53807,Armie Hammer
886,William Fichtner
18473,James Badge Dale
207,Tom Wilkinson
47720,Ruth Wilson
12834,Barry Pepper
22063,James Frain
583040,Mason Cook
335,Michael Shannon
1269,Kevin Costner
934,Russell Crowe
43202,Antje Traue
22227,Christopher Meloni
213049,Jadin Gould
91606,Tom Hiddleston
9048,Clark Gregg
71189,Cobie Smulders
955,Penélope Cruz
6972,Ian Mcshane
237455,Sam Claflin
469759,Astrid Bergès-Frisbey
1115,Stephen Graham
4031,Greg Ellis
1712,Damian O'Hare
2888,Will Smith
2176,Tommy Lee Jones
16851,Josh Brolin
72873,Michael Stuhlbarg
7056,Emma Thompson
55936,Jemaine Clement
151246,Nicole Scherzinger
59860,Alice Eve
19278,Bill Hader
87070,Michael Chernus
7060,Martin Freeman
1327,Ian Mckellen
30315,Richard Armitage
25136,Ken Stott
95047,Graham Mctavish
67123,William Kircher
34715,James Nesbitt
1193834,Stephen Hunter
152566,Dean O'Gorman
207558,Aidan Turner
37625,Andrew Garfield
54693,Emma Stone
7026,Rhys Ifans
5724,Denis Leary
55152,Campbell Scott
76793,Irrfan Khan
8349,Martin Sheen
35,Sally Field
558928,Max Charles
231547,Chris Zylka
3489,Naomi Watts
70851,Jack Black
3490,Adrien Brody
3491,Thomas Kretschmann
3492,Colin Hanks
1333,Andy Serkis
3493,Evan Parke
478,Jamie Bell
3494,Lobo Chan
3495,John Sumner
204,Kate Winslet
6193,Leonardo Dicaprio
3713,Frances Fisher
1954,Billy Zane
8534,Kathy Bates
8535,Gloria Stuart
2053,Bill Paxton
1369,Bernard Hill
2076,David Warner
8536,Victor Garber
60898,Sebastian Stan
53650,Anthony Mackie
172069,Chadwick Boseman
6162,Paul Bettany
550843,Elizabeth Olsen
28846,Alexander Skarsgård
131519,Rihanna
131520,Brooklyn Decker
13275,Tadanobu Asano
3896,Liam Neeson
1052162,Gregory D. Gadson
184581,Hamish Linklater
88124,Jesse Plemons
205406,John Tui
73457,Chris Pratt
7132,Vincent D'Onofrio
1108907,Nick Robinson
17181,Ty Simpkins
543505,Jake Johnson
78423,Omar Sy
14592,Bd Wong
20750,Judy Greer
3810,Javier Bardem
1030261,Bérénice Marlohe
3926,Albert Finney
11045,Ola Rapace
658,Alfred Molina
19154,Daniel Gillies
19152,Dylan Baker
12052,Gwyneth Paltrow
529,Guy Pearce
15556,Rebecca Hall
15277,Jon Favreau
2282,Ben Kingsley
121953,Stephanie Szostak
76070,Mia Wasikowska
1064,Crispin Glover
20982,Marton Csokas
30083,Lindsay Duncan
26209,Matt Lucas
11855,Geraldine James
11276,Tim Pigott-Smith
6968,Hugh Jackman
4587,Halle Berry
2387,Patrick Stewart
10696,Famke Janssen
10690,Anna Paquin
7090,Kelsey Grammer
11023,Shawn Ashmore
11022,Aaron Stanford
27578,Ellen Page
7904,Billy Crystal
1230,John Goodman
884,Steve Buscemi
15735,Helen Mirren
1271300,Noah Johnston
21198,Peter Sohn
155649,Joel Murray
52601,Sean Hayes
21290,Dave Foley
95101,Charlie Day
10959,Shia Labeouf
19537,Megan Fox
19536,Josh Duhamel
11678,Rainn Wilson
